O : à ASCO:t (dit avec dérision) (RIRE) <P1,L1> 
Y : [ 1 St-Jean (inaud.) <P2,L1> 
S : [ 1HEIN ben non ta gueule ostie dis pas de niaiseries de moi/ [ 2 (RIRE) <P2,L2> 
O : [ 2 EH crif (dit en riant) <P2,L3> 
S : on est filmés/ là (en se grattant la tête comme s’il était gêné) <P2,L4> 
S : [ 1 dis pas de {fa-;(inaud.)} <P2,L5> 
Y : [ 1 faut pas que tu fasses allusion à ça (inaud.) <P2,L6> 
S : un deux un deux test (en prenant le micro et en l’approchant de sa bouche) (0:00:54.5) <P2,L7> 
Y : étouffe-toi pas ostie (dit en s’adressant à Oscar) <P2,L8> 
O : bon (.) ça [ 1 suffit <P2,L9> 
Y : [ 1 pis il y avait-tu de la plotte dans le club à Ascot <P2,L10> 
S : il y en avait pas pire (RIRE) <P2,L11> 
Y : ouin/ <P2,L12> 
S : devait en avoir une vingtaine {ouais;non;là} <P2,L13> 
O : (il se frotte les yeux) Y : pleure pas là (dit en s’adressant à Oscar) <P2,L14> 
O : eh↑ câlisse (dit en riant) (RIRE) ça m’a remonté dans le nez (dit en riant) <P2,L15> 
Y : c’est ça qu’elle lui a dit {itou hier;la fille hier;(inaud.)} à Ascot là <P2,L16> 
S : ça m’a remonté (dit en riant et en essuyant ses larmes) (0:01:30.8) <P2,L17> 
Y : {ah ouin;(inaud.)} <P3,L1> 
O : [ 1 ah non il aurait pu (en tournant la tête vers Sylvain comme pour le désigner) s’en faire une en plus <P3,L2> 
Y : [ 1 <p<ostie>> crisse qu’est-ce que t’as fait hier dans le fond (dit en s’adressant à Sylvain) <P3,L3> 
S : hein↑ <P3,L4> 
Y : qu’est-ce que t’as fait hier soir (dit en s’adressant à Sylvain) <P3,L5> 
S : on est allé chez Dan/ (.) pis après [ 1 on est montés là pis après ça on est redescendus au bar <P3,L6> 
Y : [ 1 ah ok <P3,L7> 
Y : ça se peut-tu Bazou était là itou le char à Bazou était chez {sa mère;Daniel} (.) [ 1 je suis passé il étai:t <P3,L8> 
S : [ 1 le truck <P3,L9> 
Y : AH: ben peut-être [ 1 ouais <P3,L10> 
S : [ 1 son Acura <P3,L11> 
Y : ouin il est allé se laver pis il est retourné chez Dan <P3,L12> 
O : ils font-tu encore des bazous eux-autres là↑ <P3,L13> 
S : ben là ils s’en vont à Vaudreuil demain <P3,L14> 
O : [ 1 aux courses en rond:/ <P3,L15> 
Y : [ 1 pour {voir des:;(inaud.)} quatre par quatre là/ <P3,L16> 
S : (il hoche la tête affirmativement) [ 1 quatre par quatre <P3,L17> 
Y : [ 1 ah des quatre par quatre (2,4”) ouin <P3,L18> 
S : on a testé ton micro {pour faire;pour falloir;(inaud.)} certain qui marche là (dit en s’adressant à Joanie) <P3,L19> 
O : (il tousse) ouin (0:02:02.6) <P3,L20> 
Y : on sait pas d’un coup ça marche pas là <P3,L21> 
O : {non hein, non:} <P3,L22> 
Y : faut le reprendre <P4,L1> 
O : mais là c’est qui qui a un quatre par quatre <P4,L2> 
S : Daniel/ avec son pick-up/ <P4,L3> 
O : ouin il a mis des ostie de gros tires là-dessus lui <P4,L4> 
S : ouin (.) il s’est acheté des rubbers <P4,L5> 
O : quoi [ 1 genre cinq cents piastres de la roue <P4,L6> 
S : [ 1 (RIRE) <P4,L7> 
Y : [ 1 (RIRE) <P4,L8> 
S : non [ 1 cen:t <P4,L9> 
Y : [ 1 je sais pas fais attention à qu’est-ce que t- [ 2 heille tu sais pas ce que j’ai vu passer itou (.) Dodu avec sa vieille Accord (dit en riant) [ 3 {(inaud.);c’est vrai comme}(dit en riant) <P4,L10> 
O : [ 2 (RIRE) <P4,L11> 
S : [ 3 <f<ben oui il a acheté ça hier>> <P4,L12> 
O : ah [ 1 ouin <P4,L13> 
S : [ 1 <all<il est allé l’acheter hier>>[2 il l’a achetée hier <P4,L14> 
Y : [ 2 crisse [ 3 (inaud.) c’est un char de (inaud.) (dit en riant) <P4,L15> 
O : [ 3 ah ouais je l’ai vu je l’ai vu au bureau d’assurance ouin (en hochant la tête affirmativement) <P4,L16> 
S : il l’a achetée hier (0:02:30.6) <P4,L17> 
O : [ 1mais il est <P4,L18> 
Y : [ 1 crisse il a dû la payer plus cher que je voulais lui vendre la mienne <P4,L19> 
O : <f<sa mère a pas un Sebring rouge>>[1 un affaire de même ah c’est ça il est au bureau de plde l’assurance avec le Sebring <P4,L20> 
Y : [ 1 ouais ouais (en hochant la tête affirmativement) <P4,L21> 
Y : à/ Sainte-Marie/ <P4,L22> 
O : {euh;heille} ici (en pointant devant lui comme pour désigner le lieu dont il parle) à Saiquand je t- juste avant d’arriver chez vous là <P5,L1> 
Y : au bureau des plaques/ <P5,L2> 
O : euh à [ 1Axa (en pointant devant lui comme pour désigner le lieu dont il parle) <P5,L3> 
S : [ 1 à Axa <P5,L4> 
Y : ah ok ok (.) à Axa (.) doit pas coûter cher à assurer certain [ 1 un bazou là (.) c’est un grément <P5,L5> 
O : [ 1 (il hausse les sourcils comme en signe de doute) <P5,L6> 
O : c’est encore drôle (.) heille il y a un [ 1 gars moi à la shop je suis mort de rire (.) il a trente ans (en donnant des petits coups sur la table avec son index comme pour insister sur ses propos) il a un Civic (.) euh S.E. comme moi (en pointant son pouce par-dessus son épaule comme pour désigner la voiture dont il parle) (.) lui ça lui coûte euh mille ou onze cents piastres par année (.) m- (RIRE) moi ça m’en coûte six cents (dit en riant) <P5,L7> 
Y : [ 1 s- <P5,L8> 
Y : (il hoche la tête affirmativement) <P5,L9> 
O : je suis plus jeune que lui pis j’ai plus de [ 1 perte de permis (RIRE) (0:03:05.0) <P5,L10> 
Y : [ 1 pis t’as t’as crisse t’as perdu ton permis t’as deux ballounes ostie (.) [ 2 <pp<tabarnaque>> <P5,L11> 
S : [ 2 il a pas envie de magasiner/ <P5,L12> 
O : ben je lui ai dit moi (en levant la main et en haussant les sourcils comme pour exprimer une évidence) elle a dit •en [ 1 plus (en haussant les sourcils comme pour insister sur ses propos) t’es à Axa° <P5,L13> 
Y : [ 1 ouais euh tu peux pas là/ <P5,L14> 
O : ben [ 1moi <P5,L15> 
Y : [ 1 il doit avoir de quoi sur sa euh: <P5,L16> 
O : ben moi la fille elle m’a mis que j’étais marié pis tout <P5,L17> 
Y : ah ben là (dit en riant) <P5,L18> 
O : ben Nicole là/ <P5,L19> 
Y : tu vas nous annoncer ça/ ou <P5,L20> 
O : <f<non non non non>> [1 elle (.) elle a demandé ça elle dit •ça fait combien de temps que tu sors avec ta blonde° [ 2 j’ai dit •trois ans° (en fronçant les sourcils comme pour exprimer qu’il s’agit d’une approximation) elle a dit •ah on peut écrire que t’es marié ça fait baisser les assurances° (en déplaçant son poing fermé de gauche à droite devant lui comme s’il écrivait) <P6,L1> 
Y : [ 1 (RIRE) (en levant le menton comme pour exprimer que c’était une blague) <P6,L2> 
Y : [ 2 (il hoche la tête affirmativement) <P6,L3> 
Y : <len<TAbarnaque>> ok <P6,L4> 
O : toutes les petites magouilles qu’il faut [ 1 savoir <P6,L5> 
Y : [ 1 heille j’ai vu ça c’est tout euh: il est percé bord en bord (.) ostie Dodu va passer au [ 2 travers <P6,L6> 
O : [ 2 c’est un quoi c’est un Accord comme t’avais↑ (0:03:35.2) <P6,L7> 
Y : ouais comme j’ai vendu au tas/ là/ (en pointant le menton vers l’avant comme pour désigner le lieu dont il parle) <P6,L8> 
O : ouin (en hochant la tête affirmativement) <P6,L9> 
Y : ben même pour moi euh:: plus vieu:x quatre-vingt-dix [ 1 quatre-vingt-onze <P6,L10> 
S : [ 1 <all<ah il est fini raide>> <P6,L11> 
Y : fini raide les ailes tu voyais au travers (en pointant son index devant lui comme s’il passait au travers de l’aile dont il parle) quand qu’il est passé (dit en riant) <P6,L12> 
O : [ 1 (RIRE) <P6,L13> 
D : [ 1 (RIRE) <P6,L14> 
Y : le char à Marion (en pointant son doigt derrière lui comme pour désigner la voiture dont il parle) il est il est plus beau il paraît mieux que ça {t’sais;(inaud.)} (.) (inaud.) {pour lui;il est pourri} hein {euh:;regarde} (.) [ 1 (inaud.) <P6,L15> 
O : [ 1 lui il travaille encore pas/ <P6,L16> 
Y : hein/ <P6,L17> 
S : ouais <P6,L18> 
Y : {non;ouais} [ 1 (inaud.) <P6,L19> 
O : [ 1 il voyage avec quoi↑ avec Sam Bébelle↑ (0:03:55.5) <P7,L1> 
Y : je sais pas là il doit voyager avec son Accord/ (.) il travaille quatre jours là (.) pour arriver à la cinquième journée il va au Solitaire à Saint-Édouard (RIRE) (.) non non il se saoule [ 1 ostie des fois il rentre pas l’été •qu’est-ce que tu fais ici↑ tu travailles pas↑° [ 2 •ah:: j’ai pas rentré aujourd’hui° <P7,L2> 
O : [ 1 ah: <P7,L3> 
S : [ 2 <p<euh::: c’est pas drôle>> <P7,L4> 
Y : faut faire attention avec son (inaud.) d’un coup qu’elle {irait repasser;elle rapporte} ça chez Daniel (inaud.) (RIRE) <P7,L5> 
O : on a de l’air fous en crime ben il doit plus aller là lui <P7,L6> 
Y : non non je pense pas [ 1 {(inaud.);de toute façon} <P7,L7> 
O : [ 1 il me semble en tout cas ça fait un: bout <P7,L8> 
S : de↑ <P7,L9> 
O : Dodu il va-tu encore chez (inaud.)↑ <P7,L10> 
S : {oui;ben} oui il était là hier <P7,L11> 
O : ah (3,5”) parce que Sam Bébelle il est pas rendu avec une maison ou un affaire de même (0:04:29.8) <P7,L12> 
Y : bien oui à Saint-Jean (2”) euh:: <P7,L13> 
O : Marcelin/ pas [ 1 Sam <P7,L14> 
Y : [ 1 ben oui Sam (en hochant la tête affirmativement) <P7,L15> 
O : ah oui [ 1 pis sa blonde elle vient de St-Jean <P7,L16> 
Y : [ 1Marcelin là il habite euh [ 2 (inaud.) de l’église là (en déplaçant son index sur la table comme s’il traçait un itinéraire sur une carte routière) <P7,L17> 
O : [ 2 en arrière de la Caisse là/ <P7,L18> 
Y : non\ <P7,L19> 
O : en arrière ou en face/ <P7,L20> 
Y : en face mettons tu vires là: dans la petite rue il y avait un anciennement un dentiste là sur le coin/ (en traçant un angle droit sur la table comme pour représenter le coin dont il parle) <P8,L1> 
O : où est-ce qu’il y a un: horloge/ (en faisant tourner son index dans les airs comme pour représenter la rotation des aiguilles de l’horloge) d- proche d’une maison/ <P8,L2> 
Y : ouin (en hochant la tête affirmativement) mais genre (.) tu vires le coin là {proche du tableau;(inaud.)} (en pliant sa main en angle droit comme pour représenter le coin dont il parle) [ 1 sur la fontaine là/ c’est la deuxième maison à ta droite (en pointant vers la droite derrière lui comme pour désigner l’endroit dont il parle) <P8,L3> 
O : [ 1 (il hoche la tête affirmativement) <P8,L4> 
O : (il hoche la tête affirmativement) <P8,L5> 
Y : comme en face [ 1 de l’église (en ramenant ses bras vers lui comme pour représenter l’emplacement de la maison) la deuxième ben avant l’église pas mal pis Sam lui euh au lieu de virer à droite (en pointant son pouce droit vers la droite) juste avant (en ramenant ses mains vers lui comme pour représenter l’antériorité) t’as une rue à gauche/ (en pointant son pouce gauche vers la gauche) <P8,L6> 
O : [ 1 ouin <P8,L7> 
O : (il hoche la tête affirmativement) <P8,L8> 
Y : euh: pis qui s’appelle la rue des des Trois Clochers (en pointant ses doigts vers la table comme pour montrer l’emplacement de certains édifices par rapport à la maison) (0:05:02.4) <P8,L9> 
O : il y a [ 1 trois clochers (dit en riant) <P8,L10> 
Y : [ 1 (il hoche la tête affirmativement) parce qu’il y a trois clochers (en hochant la tête affirmativement) (.) nous-autres on {appelait;a appelé} ça la destroy maison (.) (RIRE) <P8,L11> 
O : ah <P8,L12> 
Y : pis euh: <P8,L13> 
S : t’es-tu venu toi à la parade de mode/ (.) [ 1 que j’ai faite (dit en s’adressant à Oscar) <P8,L14> 
O : [ 1 {avec;inaud.} euh: non je suis allé rien qu’une fois moi <P8,L15> 
S : parce qu’il y avait une fille qui se faisait métamorphoser c’était sa blonde (en traçant plusieurs cercles dans les airs avec son index comme pour représenter la métamorphose) <P8,L16> 
Y : à Sam↑ <P9,L1> 
S : (il hoche la tête affirmativement) <P9,L2> 
Y : ah ouin/ <P9,L3> 
O : {pis ça;crisse elle} a quel âge↑ <P9,L4> 
S : ah pas vieille <P9,L5> 
Y : <p<fait un tirage au sort pour (inaud.)>> <P9,L6> 
S : elle est pas vieille elle est caissière à St-Jean <P9,L7> 
Y : ah ouin/ à la Caisse↑ <P9,L8> 
S : ben non euh:: elle est dans un dépanneur (0:05:30.0) <P9,L9> 
Y : ah:: <P9,L10> 
S : ou à l’épicerie <P9,L11> 
Y : caissière ok (dit avec un petit rire) <P9,L12> 
S : (il émet un petit rire) <P9,L13> 
O : parce que Sam [ 1 il a au moins [ 2 tren::te <P9,L14> 
Y : [ 1 (inaud.) il dit elle travaille chez [ 3 (inaud.) <P9,L15> 
S : [ 2 elle ramasse l’argent [kr] [kr] (dit comme pour imiter le bruit de l’argent qu’on met dans un tiroir-caisse) <P9,L16> 
O : [ 3 Sam ça a trente trente et un certain là/ <P9,L17> 
Y : ah ouais pis en masse (.) en masse <P9,L18> 
O : ma sœur a (.) ma sœur a tr- trente et un <p<fait que (.) je me demande s’il est pas plus vieux>> <P9,L19> 
Y : <p<{(inaud.);c’est en masse} ostie>> <P9,L20> 
S : euh <P9,L21> 
O : bon c’est quoi cette petite feuille-là là (en prenant une feuille sur la table) <P9,L22> 
Y : [ 1 crisse c’est quoi ça (.) euh <P9,L23> 
S : [ 1 (il siffle comme s’il souhaitait meubler le silence) <P10,L1> 
O : •réchauffement de la planète° (dit en lisant la feuille) [ 1 (inaud.) on s’en [ 2CÂlisse-tu (dit en riant) de (inaud.) (.) (dit en riant) ben oui regarde [ 3 c’est c’est <f<t’en fais t’en fais pas mal plus ostie avec ton truck crisse {que:;que euh}>> 0:06:04.9) <P10,L2> 
Y : [ 1 voyons <P10,L3> 
Y : [ 2 ben là les gaz à effet de serre man <P10,L4> 
Y : [ 3 t’as mangé des bines toi à matin (RIRE) <P10,L5> 
Y : heille heille tu sauras que (inaud.) que les nouveaux trucks ça sort plus pur que qu’est-ce que tu peux péter mon homme (en pointant Oscar du doigt) <P10,L6> 
O : ben ouais <P10,L7> 
Y : quand tu pètes ça [ 1 sen:t <P10,L8> 
O : [ 1 je pète pas moi <P10,L9> 
Y : hein/ <P10,L10> 
O : je chie [ 1 (RIRE) <P10,L11> 
Y : [ 1 (RIRE) eh crisse <P10,L12> 
S : tu [ 1 pètes pas\ <P10,L13> 
Y : [ 1 ah non mais c’est rendu que ça j- (.) l’exhaust est brûlé deux fois t’sais [ 2 l’exhaust au lieu de sortir direct (en pointant vers le haut comme pour représenter le gaz qui s’échappe) (.) ouin c’est ça ça se rebrûle (en traçant une courbe dans les airs avec son doigt comme pour représenter la répétition) un autre fois mon homme pis ça sort pur (en ouvrant sa main devant lui comme pour insister sur ses propos) (.) dans le fond c’est juste du CO2 qui sort (en déplaçant sa main horizontalement comme en signe de négation affirmée) <P10,L14> 
O : [ 2 ouin ben comme les poêles à bois <P10,L15> 
O : ouin <P10,L16> 
Y : il y a pas {de:;de euh} particules (en joignant son pouce et son index comme pour représenter les particules dont il parle) il y a rien (en déplaçant sa main horizontalement comme en signe de négation affirmée) (.) juste du CO2 (.) pis là les: tu passes dans la forêt dans le fond les arbres ils repompent ça (en traçant une courbe dans les airs avec son bras comme pour représenter le cycle dont il parle) pis sa r- <P10,L17> 
O : ça repousse <P11,L1> 
Y :[ 1 ouais (0:06:31.9) <P11,L2> 
S : [ 1 EH la photosynthèse [ 2 ouh::\ (dit en sifflant comme pour insister sur le mot savant) <P11,L3> 
Y : [ 2 ouais c’es- <f<photosynthèse>> (il lève légèrement le bras et pointe son auriculaire vers son interlocuteur comme pour signifier son accord avec le mot choisi) <P11,L4> 
O : écologie [ 1 secondaire un <P11,L5> 
Y : [ 1 oui c’est ça <P11,L6> 
O : t’allumes la petite [ 1 flamme (en baissant son pouce sur son poing comme s’il allumait un briquet) elle éteint tu mets un peu de lumière elle rallume <P11,L7> 
Y : [ 1 (il hoche la tête affirmativement) oui (il hoche la tête affirmativement) <P11,L8> 
Y : oui oui regarde [ 1 photosynthèse <P11,L9> 
S : [ 1 ah oui le jour les chloroplastes [ 2 ouvrent (en écartant les bras devant lui comme pour montrer l’ouverture de la fleur) <P11,L10> 
Y : [ 2 ça dépend du pistil pis de l’étamine de la fleur là <P11,L11> 
O :[ 1 (RIRE) (en regardant Yan comme s’il se moquait de son savoir) <P11,L12> 
S : [ 1 pis ouin c’est ça pis là les chloroplastes ils ouvrent (en écartant les bras devant lui comme pour montrer l’ouverture de la fleur) le jour pis là elle ramasse son énergie [ 2 [prtt]: (en ramenant les bras vers l’intérieur comme pour représenter l’énergie que la fleur ramasse) <P11,L13> 
O : [ 2 ouin mais [ 3 l’agronome l’agronome il est supposé savoir ça lui <P11,L14> 
Y : [ 3 ben oui <P11,L15> 
S : [ 1 pis là la nuit e:lle (il plisse les lèvres comme s’il cherchait ses mots en effectuant un mouvement circulaire avec son index droit comme pour représenter le processus de photosynthèse) transforme ça <P11,L16> 
Y : [ 1 {ben c’est normal;(inaud.)} <P11,L17> 
Y : normalement <P11,L18> 
S : (il fait un clic avec sa bouche comme pour signifier que son explication est terminée) [ 1 ouin <P12,L1> 
O : [ 1 heille j’ai revu chose là euh: qui étudie en agronomie là de St-Jean là (.) [ 2 pis il a un nom fucké là (0:07:02.2) <P12,L2> 
S : [ 2 Solal/ <P12,L3> 
Y : [ 1 (inaud.) ouais Solal (en hochant la tête affirmativement) <P12,L4> 
S : [ 1 Solal <P12,L5> 
O : Solal <P12,L6> 
S : [ 1 il travaille à la Coop à St-Paul <P12,L7> 
Y : [ 1 Solal <P12,L8> 
O : il s’est [ 1 fait fourrer <P12,L9> 
Y : [ 1 il travaille à la Coop/ <P12,L10> 
S : (il hoche la tête affirmativement) <P12,L11> 
O : il [ 1 disait qui gagn- (RIRE) [ 2 <ff<ah ouais>> <f<il disait qu’il gagnait moins cher que de travailler chez Gaudrault>> dit en riant) (RIRE) <P12,L12> 
Y : [ 1 ah comme agronome (dit en réponse à Sylvain) <P12,L13> 
S : [ 2 (il hoche la tête affirmativement en réponse à Yan) <P12,L14> 
Y : voyons toi (dit en riant et en levant le menton vers Oscar comme pour exprimer son incrédulité) <P12,L15> 
S : ben ouais <P12,L16> 
O : pis il est agronome [ 1 ostie (dit en riant) <P12,L17> 
Y : [ 1 eh crisse ok (dit en riant) (.) ouin <P12,L18> 
S : ah ouais <P12,L19> 
Y : [ 1 il as-tu encore il avait un: <len<Mazda euh Protégé>> je sais pas trop <P12,L20> 
S : [ 1 (inaud.) <P12,L21> 
S : [ 2 (il hoche la tête négativement en plissant les lèvres comme en signe d’ignorance) je sais pas <P12,L22> 
O : [ 2 c’est pas un Mazda trois/ <P13,L1> 
S : t’sais [ 1 l’autre fois je (inaud.) <P13,L2> 
Y : [ 1 comme la blonde du jeune elle a ouin un Mazda 3 comme Tim a déjà eu là/ (en hochant la tête affirmativement) <P13,L3> 
S : je suis allé à la Coop [ 1 acheter des: [ 2 des lames de clipper pis de l’huile pour clipper pis euh: [ 3 c’est ça il était là (0:07:33.5) <P13,L4> 
O : [ 1 ouin (dit en réponse à Yan) <P13,L5> 
Y : [ 2 ouin (dit en réponse à Oscar) <P13,L6> 
O : [ 3 il était là <P13,L7> 
Y : [ 1 (RIRE) (il hoche la tête négativement) <P13,L8> 
O : [ 1 ouin moi je l’ai vu [ 2 à Sainte-Laura (.) il y a un restaurant à Sainte-Laura mon gars c’est bon en tabarnache (.) <len<Giovananina>> dit en séparant chacune des syllabes) une affaire de même là <P13,L9> 
Y : [ 2 c- <P13,L10> 
Y : ils servent-tu des tournedos [ 1 {pis tout ça/;(inaud.)} <P13,L11> 
O : [ 1 non c’est rien que de la pizza pis des pâtes (en hochant la tête négativement) <P13,L12> 
Y : <p<ok>> <P13,L13> 
O : c’est bon pis c’est pas cher (2,5”) souveraineté du Québec (dit en lisant la feuille) hein t’es-tu péquiste toi↑ (dit en riant et en s’adressant à Yan) <P13,L14> 
Y : moi je suis full péquiste (dit en riant) <P13,L15> 
O : [ 1 t’es-tu sérieux t’as tu votes pour Pauline/ (dit en riant) (0:07:59.2) <P13,L16> 
Y : [ 1 -tu malade {voyons;ben non} t’es-tu malade (en levant son menton vers Oscar comme pour se moquer de lui) <P13,L17> 
Y : de la crisse de marde des ost- (.) [ 1 {(inaud.);là le monde} <P13,L18> 
O : [ 1 as-tu voté le dernier coup toi/ (en haussant les sourcils comme en signe de scepticisme) <P13,L19> 
Y : moi je vas pas voter (en ramenant son menton vers lui comme s’il était sur la défensive) t’sais dans le fond j’ai pas un mot à dire parce que je vas pas voter mai:s\ <P13,L20> 
S : moi non plus c’est ça (dit en riant) <P14,L1> 
Y : {mais;ben} t’sais je peux pas chialer mais jamais que (.) si le Québec se sépare je câlisse (en tournant la tête vers la droite comme pour représenter le mouvement de départ dont il s’apprête à parler) mon camp ailleurs [ 1 ça c’est clair eh crisse (dit avec un petit rire) <P14,L2> 
O : [ 1moi itou (en haussant les sourcils comme pour exprimer une évidence) <P14,L3> 
O : {je r- m’en-;(inaud.)} <P14,L4> 
Y : je décâlisse d’ici <P14,L5> 
O : ça prendrait rien que ça ostie pour aller rejoindre mon frère en crisse <P14,L6> 
Y : ça là c’est c’est la pire affaire ils pensent que (.) {ostie;(inaud.)} c’est la vieille mentalité mon père je parlais de ça avec moi pis mon frère (.) <p<t’sais c’est rare que tu parles de ça [ 1 pareil>> mais on se met à parler de ça pis mon père lui il croit fer [ 2 il croit dur comme fer que si (en hochant la tête négativement) (.) <f<ben il a [ 3 déjà voté oui en quatre-vingt-quinze là t’sais <P14,L7> 
O : [ 1 ben oui <P14,L8> 
O : [ 2 ah ouin c’est un péquiste lui/ (en haussant les sourcils comme en signe d’interrogation) (0:08:41.8) <P14,L9> 
O : [ 3 <f<ma mère a déjà ouin ma mère a déjà voté [ 4 oui là>> <P14,L10> 
Y : [ 4 pis là lui il se dit que: dans le fond si le Québec>> serait tout seul (en joignant ses mains devant lui comme pour représenter l’isolation du Québec) on aurait pas de trouble tout [ 5 irait ben (il écarte les bras devant lui comme pour représenter l’absence de problème dont il parle) <P14,L11> 
O : [ 5 ben oui (dit avec dérision) <P14,L12> 
Y : heille voyons donc toi (en levant le menton comme pour exprimer son incrédulité) [ 1 {t’arrives dans le trou en baptê-;(inaud.)} <P14,L13> 
O : [ 1 <f<rien que la dette qu’on va devoir au Canada en partant>> <P14,L14> 
Y : heille regarde oublie ça (.) faut t’ailles ton armée là tu fais des frontières tu fais (en comptant sur ses doigts) (.) là t’as plus de de d’affaires de fédéral qui revient [ 1 là (en ramenant ses doigts rapidement vers lui comme pour représenter les choses qui arrivent) <P14,L15> 
O : [ 1 ben non [ 2 il y a plus de <P15,L1> 
Y : [ 2 la péréquation [ 3 oublie ça là <P15,L2> 
O : [ 3 faut que t’a- <P15,L3> 
Y : <p<heille [ 1 ciboire>> <P15,L4> 
O : [ 1 les bureaux de poste c’est toi qui r- r- restarts ça [ 2 pis <P15,L5> 
Y : [ 2 ah oui il y a plein d’affaires là (en hochant la tête affirmativement) (.)mon père il dit <f<•ben on en donnerait plus au fédéral on en donnerait plus à Ottawa>> en pointant son menton vers l’avant comme pour désigner l’endroit dont il parle) <all<pis tout ça>>° ouin mais t’en reçois neuf cents millions (en ramenant sa main vers lui comme pour représenter l’argent qui lui revient) neuf cents mil- neuf cents millions d’eux-autres de l’Alberta qu’ils te redonnent de ça euh <P15,L6> 
S : ouin (en haussant les sourcils comme pour exprimer son accord) <P15,L7> 
Y : heille regarde ostie <P15,L8> 
O : ah non (0:09:06.5) <P15,L9> 
Y : <p<ostie de (inaud.)>> [ 1 <pp<ah non>> <P15,L10> 
O : [ 1 pis euh: il y a rien [ 2 qui <P15,L11> 
Y : [ 2 pis il y en a qui croient ça hein/ <P15,L12> 
O : si ça devient un un pays là ils vont euh (.) ça va devenir comme Cuba ou les affaires de même le gouvernement vont [ 1 décider (en tapant sur la table comme pour représenter les prises de décisions) là pis ils vont tout (en tapant sur la table comme pour représenter les prises de décisions) changer [ 2 les lois la première année que ça arrive là pis [ 3 ils vont s’arranger pour que ça soit [ 4 plus euh:\ <P15,L13> 
Y : [ 1 (il hoche la tête négativement) non non c- <P15,L14> 
Y : [ 2 (il hoche la tête négativement) ben ouais <P15,L15> 
Y : [ 3 pis ça va devenir <P15,L16> 
Y : [ 4 ça va devenir mon homme on va venir euh ça va être le tiers-monde <P15,L17> 
O : ouin <P15,L18> 
Y : au Québec (.) déjà là euh <P15,L19> 
O : ben pas le tiers-monde [ 1mais ça va être euh dirigé [ 2 à mort tu vas faire ce qu’eux-autres ils disent [ 3 qu’ils font pis (0:09:31.8) <P16,L1> 
Y : [ 1 non non pas le tiers-monde mais ça va faire dur <P16,L2> 
Y : [ 2 (il hoche la tête affirmativement) <p<ah oui>> <P16,L3> 
Y : [ 3 c’est ça <P16,L4> 
Y : ça va être une dictature [ 1 ostie <P16,L5> 
O : [ 1 c’est ça (.) carrément ça <P16,L6> 
S : (il baille bruyamment) ciboire (dit comme pour exprimer sa fatigue) <P16,L7> 
Y : c’est l’enfer en ostie ça ah oui quelqu’un qui croit à ça là il est ben c’est ben comme croire au Père Noël (.) mais il y en a qui croient [ 1 ça en ostie pareil <P16,L8> 
S : [ 1 ah: [ 2 ho ho ho <P16,L9> 
O : [ 2 au Père Noël↑ (RIRE) <P16,L10> 
Y : ben non (dit en riant) <P16,L11> 
S : <len<hein\>> .) [ 1 le Père Noël existe pas\ <P16,L12> 
Y : [ 1 (inaud.) <P16,L13> 
Y : hein↑ <P16,L14> 
S : hein/ <P16,L15> 
Y : non mais la fée des glaces oui en tout cas <P16,L16> 
S : câ- ouf fiou heille <P16,L17> 
